Date,"USD/CHF(Open, Ask)","USD/CHF(High, Ask)","USD/CHF(Low, Ask)","USD/CHF(Close, Ask)","USD/CHF(Open, Bid)*","USD/CHF(High, Bid)*","USD/CHF(Low, Bid)*","USD/CHF(Close, Bid)*"
09/06/2016 19:54:00,0.97006,0.97012,0.96999,0.96999,0.97000,0.97005,0.96993,0.96993
09/06/2016 19:53:00,0.97007,0.97011,0.96995,0.97006,0.97000,0.97004,0.96986,0.97000
09/06/2016 19:52:00,0.96992,0.97011,0.96992,0.97007,0.96985,0.97004,0.96985,0.97000
09/06/2016 19:51:00,0.97003,0.97011,0.96992,0.96992,0.96995,0.97002,0.96985,0.96985
09/06/2016 19:50:00,0.97009,0.97019,0.97002,0.97003,0.97001,0.97011,0.96994,0.96995
09/06/2016 19:49:00,0.97007,0.97010,0.96995,0.97009,0.96999,0.97002,0.96987,0.97001
09/06/2016 19:48:00,0.96998,0.97015,0.96994,0.97007,0.96992,0.97007,0.96986,0.96999
09/06/2016 19:47:00,0.97001,0.97009,0.96995,0.96998,0.96994,0.97000,0.96987,0.96992
09/06/2016 19:46:00,0.96985,0.97002,0.96985,0.97001,0.96977,0.96994,0.96976,0.96994
09/06/2016 19:45:00,0.96981,0.96998,0.96981,0.96985,0.96974,0.96990,0.96974,0.96977
09/06/2016 19:44:00,0.96971,0.96999,0.96971,0.96981,0.96963,0.96991,0.96963,0.96974
09/06/2016 19:43:00,0.96967,0.96977,0.96964,0.96971,0.96962,0.96971,0.96956,0.96963
09/06/2016 19:42:00,0.96974,0.96975,0.96959,0.96967,0.96966,0.96970,0.96953,0.96962
09/06/2016 19:41:00,0.97014,0.97014,0.96974,0.96974,0.97006,0.97006,0.96966,0.96966
09/06/2016 19:40:00,0.96991,0.97021,0.96974,0.97014,0.96985,0.97014,0.96966,0.97006
09/06/2016 19:39:00,0.97006,0.97006,0.96977,0.96991,0.96998,0.96998,0.96974,0.96985
09/06/2016 19:38:00,0.97028,0.97029,0.97005,0.97006,0.97022,0.97023,0.96998,0.96998
09/06/2016 19:37:00,0.97042,0.97043,0.97025,0.97028,0.97038,0.97038,0.97021,0.97022
