Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
08/31/2016 07:50:00,0.75202,0.75206,0.75202,0.75205,0.75198,0.75202,0.75198,0.75201
08/31/2016 07:49:00,0.75194,0.75202,0.75192,0.75202,0.75190,0.75199,0.75189,0.75198
08/31/2016 07:48:00,0.75195,0.75200,0.75194,0.75194,0.75191,0.75198,0.75189,0.75190
08/31/2016 07:47:00,0.75191,0.75202,0.75189,0.75195,0.75189,0.75200,0.75187,0.75191
08/31/2016 07:46:00,0.75192,0.75194,0.75189,0.75191,0.75189,0.75191,0.75185,0.75189
08/31/2016 07:45:00,0.75193,0.75196,0.75192,0.75192,0.75189,0.75192,0.75188,0.75189
08/31/2016 07:44:00,0.75184,0.75196,0.75175,0.75193,0.75183,0.75193,0.75174,0.75189
08/31/2016 07:43:00,0.75197,0.75203,0.75184,0.75184,0.75193,0.75200,0.75182,0.75183
08/31/2016 07:42:00,0.75194,0.75198,0.75193,0.75197,0.75191,0.75195,0.75189,0.75193
08/31/2016 07:41:00,0.75185,0.75195,0.75184,0.75194,0.75182,0.75192,0.75181,0.75191
08/31/2016 07:40:00,0.75174,0.75185,0.75172,0.75185,0.75172,0.75182,0.75168,0.75182
08/31/2016 07:39:00,0.75175,0.75175,0.75174,0.75174,0.75170,0.75174,0.75170,0.75172
08/31/2016 07:38:00,0.75174,0.75177,0.75174,0.75175,0.75171,0.75176,0.75170,0.75170
08/31/2016 07:37:00,0.75174,0.75174,0.75169,0.75174,0.75169,0.75172,0.75166,0.75171
08/31/2016 07:36:00,0.75166,0.75178,0.75166,0.75174,0.75163,0.75176,0.75163,0.75169
08/31/2016 07:35:00,0.75173,0.75177,0.75166,0.75166,0.75171,0.75173,0.75162,0.75163
08/31/2016 07:34:00,0.75184,0.75184,0.75171,0.75173,0.75180,0.75180,0.75169,0.75171
08/31/2016 07:33:00,0.75186,0.75188,0.75180,0.75184,0.75182,0.75183,0.75176,0.75180
08/31/2016 07:32:00,0.75176,0.75186,0.75174,0.75186,0.75172,0.75183,0.75171,0.75182
08/31/2016 07:31:00,0.75185,0.75186,0.75175,0.75176,0.75181,0.75182,0.75170,0.75172
08/31/2016 07:30:00,0.75196,0.75198,0.75176,0.75185,0.75191,0.75192,0.75173,0.75181
08/31/2016 07:29:00,0.75194,0.75196,0.75184,0.75196,0.75190,0.75191,0.75180,0.75191
08/31/2016 07:28:00,0.75177,0.75196,0.75177,0.75194,0.75173,0.75192,0.75173,0.75190
08/31/2016 07:27:00,0.75168,0.75180,0.75165,0.75177,0.75164,0.75176,0.75161,0.75173
08/31/2016 07:26:00,0.75158,0.75170,0.75156,0.75168,0.75154,0.75166,0.75151,0.75164
08/31/2016 07:25:00,0.75164,0.75166,0.75152,0.75158,0.75162,0.75162,0.75147,0.75154
08/31/2016 07:24:00,0.75174,0.75175,0.75161,0.75164,0.75170,0.75171,0.75158,0.75162
08/31/2016 07:23:00,0.75167,0.75176,0.75165,0.75174,0.75163,0.75172,0.75161,0.75170
08/31/2016 07:22:00,0.75166,0.75168,0.75165,0.75167,0.75162,0.75164,0.75161,0.75163
08/31/2016 07:21:00,0.75157,0.75168,0.75157,0.75166,0.75154,0.75163,0.75153,0.75162
08/31/2016 07:20:00,0.75147,0.75163,0.75140,0.75157,0.75144,0.75160,0.75137,0.75154
08/31/2016 07:19:00,0.75165,0.75165,0.75146,0.75147,0.75161,0.75162,0.75142,0.75144
08/31/2016 07:18:00,0.75169,0.75169,0.75157,0.75165,0.75165,0.75165,0.75153,0.75161
08/31/2016 07:17:00,0.75176,0.75183,0.75168,0.75169,0.75172,0.75179,0.75164,0.75165
08/31/2016 07:16:00,0.75174,0.75176,0.75174,0.75176,0.75170,0.75174,0.75170,0.75172
08/31/2016 07:15:00,0.75164,0.75176,0.75163,0.75174,0.75160,0.75172,0.75159,0.75170
08/31/2016 07:14:00,0.75167,0.75168,0.75160,0.75164,0.75166,0.75166,0.75157,0.75160
08/31/2016 07:13:00,0.75167,0.75174,0.75166,0.75167,0.75161,0.75169,0.75161,0.75166
08/31/2016 07:12:00,0.75175,0.75175,0.75165,0.75167,0.75172,0.75172,0.75160,0.75161
08/31/2016 07:11:00,0.75135,0.75175,0.75134,0.75175,0.75130,0.75172,0.75130,0.75172
