Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 21:55:00,1.12451,1.12467,1.12451,1.12458,1.12447,1.12464,1.12447,1.12454
09/06/2016 21:54:00,1.12458,1.12458,1.12449,1.12451,1.12454,1.12454,1.12446,1.12447
09/06/2016 21:53:00,1.12450,1.12469,1.12450,1.12458,1.12447,1.12466,1.12447,1.12454
09/06/2016 21:52:00,1.12456,1.12457,1.12444,1.12450,1.12452,1.12453,1.12442,1.12447
09/06/2016 21:51:00,1.12463,1.12466,1.12455,1.12456,1.12460,1.12462,1.12452,1.12452
09/06/2016 21:50:00,1.12445,1.12464,1.12445,1.12463,1.12445,1.12460,1.12445,1.12460
09/06/2016 21:49:00,1.12447,1.12450,1.12439,1.12445,1.12445,1.12448,1.12437,1.12445
09/06/2016 21:48:00,1.12444,1.12453,1.12441,1.12447,1.12442,1.12448,1.12437,1.12445
09/06/2016 21:47:00,1.12460,1.12462,1.12443,1.12444,1.12457,1.12459,1.12442,1.12442
09/06/2016 21:46:00,1.12462,1.12468,1.12455,1.12460,1.12458,1.12464,1.12452,1.12457
09/06/2016 21:45:00,1.12462,1.12468,1.12457,1.12462,1.12460,1.12464,1.12454,1.12458
09/06/2016 21:44:00,1.12454,1.12467,1.12453,1.12462,1.12450,1.12463,1.12449,1.12460
09/06/2016 21:43:00,1.12440,1.12463,1.12440,1.12454,1.12437,1.12459,1.12437,1.12450
09/06/2016 21:42:00,1.12438,1.12450,1.12438,1.12440,1.12433,1.12445,1.12433,1.12437
09/06/2016 21:41:00,1.12419,1.12438,1.12419,1.12438,1.12416,1.12434,1.12416,1.12433
09/06/2016 21:40:00,1.12422,1.12430,1.12418,1.12419,1.12419,1.12426,1.12415,1.12416
09/06/2016 21:39:00,1.12420,1.12422,1.12412,1.12422,1.12415,1.12419,1.12408,1.12419
09/06/2016 21:38:00,1.12417,1.12422,1.12413,1.12420,1.12414,1.12418,1.12409,1.12415
09/06/2016 21:37:00,1.12426,1.12426,1.12416,1.12417,1.12423,1.12423,1.12413,1.12414
09/06/2016 21:36:00,1.12410,1.12432,1.12408,1.12426,1.12406,1.12428,1.12405,1.12423
09/06/2016 21:35:00,1.12409,1.12418,1.12401,1.12410,1.12405,1.12413,1.12397,1.12406
09/06/2016 21:34:00,1.12402,1.12423,1.12401,1.12409,1.12397,1.12419,1.12397,1.12405
09/06/2016 21:33:00,1.12389,1.12403,1.12384,1.12402,1.12385,1.12400,1.12383,1.12397
09/06/2016 21:32:00,1.12373,1.12389,1.12367,1.12389,1.12369,1.12385,1.12363,1.12385
09/06/2016 21:31:00,1.12368,1.12374,1.12366,1.12373,1.12364,1.12370,1.12362,1.12369
09/06/2016 21:30:00,1.12359,1.12370,1.12355,1.12368,1.12355,1.12367,1.12350,1.12364
09/06/2016 21:29:00,1.12351,1.12362,1.12351,1.12359,1.12348,1.12357,1.12347,1.12355
09/06/2016 21:28:00,1.12350,1.12355,1.12347,1.12351,1.12346,1.12352,1.12345,1.12348
09/06/2016 21:27:00,1.12350,1.12352,1.12346,1.12350,1.12348,1.12351,1.12342,1.12346
09/06/2016 21:26:00,1.12351,1.12359,1.12346,1.12350,1.12347,1.12356,1.12344,1.12348
09/06/2016 21:25:00,1.12347,1.12354,1.12339,1.12351,1.12343,1.12351,1.12336,1.12347
09/06/2016 21:24:00,1.12348,1.12362,1.12345,1.12347,1.12344,1.12360,1.12341,1.12343
09/06/2016 21:23:00,1.12366,1.12367,1.12334,1.12348,1.12362,1.12363,1.12331,1.12344
09/06/2016 21:22:00,1.12379,1.12379,1.12362,1.12366,1.12376,1.12376,1.12358,1.12362
09/06/2016 21:21:00,1.12378,1.12385,1.12374,1.12379,1.12375,1.12381,1.12371,1.12376
09/06/2016 21:20:00,1.12396,1.12396,1.12377,1.12378,1.12392,1.12392,1.12373,1.12375
09/06/2016 21:19:00,1.12397,1.12400,1.12390,1.12396,1.12395,1.12397,1.12388,1.12392
09/06/2016 21:18:00,1.12401,1.12401,1.12394,1.12397,1.12398,1.12401,1.12391,1.12395
09/06/2016 21:17:00,1.12403,1.12411,1.12392,1.12401,1.12398,1.12406,1.12388,1.12398
09/06/2016 21:16:00,1.12411,1.12421,1.12400,1.12403,1.12408,1.12416,1.12396,1.12398
09/06/2016 21:15:00,1.12457,1.12457,1.12405,1.12411,1.12453,1.12454,1.12401,1.12408
